"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","8","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","142","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:57 GMT 2021","34","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The Company Logo is visible","And The Company Logo is visible",""
"failed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:22:07 GMT 2021","10222","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello John!"" is visible on the Hello page in header","And The ""Hello John!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:22:07 GMT 2021","Thu May 06 17:22:07 GMT 2021","47","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Sophia"" in the input field on the Form page","When I type ""Sophia"" in the input field on the Form page",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","301","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Charlie""","Then The the url path is ""/hello.html?myName=Charlie""",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","7","","Submit Form: Form Page","","Submit Form: Form Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","23","","Error Page: Error page","","Error Page: Error page","And HTTP interceptor ""navError"" spies on ""GET"" ""**/error""","And HTTP interceptor ""navError"" spies on ""GET"" ""**/error""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","14","","Error Page: Error page","","Error Page: Error page","And 404 page is shown","And 404 page is shown",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","31","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","When I click on the ""Form"" button in navbar","When I click on the ""Form"" button in navbar",""
"failed","Thu May 06 17:22:07 GMT 2021","Thu May 06 17:22:18 GMT 2021","10196","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Sophia"" is visible on the Hello page in header","And The ""Hello Sophia"" is visible on the Hello page in header",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","208","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","Then The the url path is ""/form.html""","Then The the url path is ""/form.html""",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","29","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The active navbar item is ""Home""","And The active navbar item is ""Home""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","43","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","When I click on the ""Home"" button in navbar","When I click on the ""Home"" button in navbar",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","144","","Home Page: Home page","","Home Page: Home page","Then The following text is visible on the Home page in <h1> tag:","Then The following text is visible on the Home page in <h1> tag:",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","221","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Jon""","Then The the url path is ""/hello.html?myName=Jon""",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","38","","Home Page: Home page","","Home Page: Home page","And The following text is visible on the Home page in <p> tag:","And The following text is visible on the Home page in <p> tag:",""
