"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","53","","Error Page: Error page","","Error Page: Error page","When I click on the ""Error"" button in navbar","When I click on the ""Error"" button in navbar",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","5","","Error Page: Error page","","Error Page: Error page","And HTTP interceptor ""navError"" spies on ""GET"" ""**/error""","And HTTP interceptor ""navError"" spies on ""GET"" ""**/error""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","13","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Sophia!"" is visible on the Hello page in header","And The ""Hello Sophia!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","18","","Submit Form: Form Page","","Submit Form: Form Page","And Submit the form on the Form page","And Submit the form on the Form page",""
"passed","Thu May 06 17:24:51 GMT 2021","Thu May 06 17:24:51 GMT 2021","13","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Emily!"" is visible on the Hello page in header","And The ""Hello Emily!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","136","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""John"" in the input field on the Form page","When I type ""John"" in the input field on the Form page",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","26","","Submit Form: Form Page","","Submit Form: Form Page","Given I am on ""Form"" page","Given I am on ""Form"" page",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","213","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","Then The the url path is ""/form.html""","Then The the url path is ""/form.html""",""
"passed","Thu May 06 17:24:48 GMT 2021","Thu May 06 17:24:49 GMT 2021","905","","Home Page: Home page","","Home Page: Home page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","130","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","Then The the url path is ""/""","Then The the url path is ""/""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","73","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Sophia"" in the input field on the Form page","When I type ""Sophia"" in the input field on the Form page",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","3","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","3","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:24:48 GMT 2021","Thu May 06 17:24:49 GMT 2021","918","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","50","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Emily"" in the input field on the Form page","When I type ""Emily"" in the input field on the Form page",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:50 GMT 2021","109","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","Then The the url path is ""/""","Then The the url path is ""/""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:51 GMT 2021","210","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Emily""","Then The the url path is ""/hello.html?myName=Emily""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","43","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","When I click on the ""Form"" button in navbar","When I click on the ""Form"" button in navbar",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","133","","Home Page: Home page","","Home Page: Home page","Then The following text is visible on the Home page in <h1> tag:","Then The following text is visible on the Home page in <h1> tag:",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","3","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","123","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","When I click on the ""UI Testing"" button in header","When I click on the ""UI Testing"" button in header",""
"passed","Thu May 06 17:24:48 GMT 2021","Thu May 06 17:24:49 GMT 2021","834","","Error Page: Error page","","Error Page: Error page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","213","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=John""","Then The the url path is ""/hello.html?myName=John""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","10","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The active navbar item is ""Form""","And The active navbar item is ""Form""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","124","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","207","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Charlie""","Then The the url path is ""/hello.html?myName=Charlie""",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","67","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Charlie"" in the input field on the Form page","When I type ""Charlie"" in the input field on the Form page",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","6","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","10","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","48","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","When I click on the ""Home"" button in navbar","When I click on the ""Home"" button in navbar",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","11","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The active navbar item is ""Home""","And The active navbar item is ""Home""",""
